month,customer_state,revenue,orders
2016-09,sp,8638.079999999969,1
2016-10,rj,525905.9199999999,40
2016-10,ba,15672.319999999994,3
2016-10,rs,161507.19999999995,17
2016-10,mg,273596.7999999999,35
2016-10,ma,45072.64000000019,4
2016-10,pr,128295.03999999996,19
2016-10,go,57887.359999999986,7
2016-10,es,55026.55999999999,3
2016-10,pi,13440.0,1
2016-10,pb,3193.6000000000035,1
2016-10,sp,762307.8399999992,94
2016-10,rr,2540.7999999999993,1
2016-10,sc,143235.8400000002,9
2016-10,df,66801.27999999991,6
2016-10,pa,69606.40000000001,4
2016-10,mt,3059.200000000007,1
2016-10,al,3199.359999999995,1
2016-10,rn,46636.16000000003,4
2016-10,ce,105579.52000000008,6
2016-10,pe,79974.39999999998,6
2016-10,se,18268.8,3
2016-12,pr,697.5999999999992,1
2017-01,rn,71991.67999999996,5
2017-01,rj,771078.3999999991,91
2017-01,df,116904.31999999999,13
2017-01,rs,761854.7199999996,52
2017-01,mt,105839.35999999996,9
2017-01,ba,242433.27999999994,24
2017-01,es,52236.80000000003,9
2017-01,ac,37734.40000000006,2
2017-01,pa,80535.68,10
2017-01,ma,36038.40000000001,6
2017-01,ro,43660.16000000001,3
2017-01,se,16883.200000000004,4
2017-01,to,40312.96000000001,2
2017-01,ms,9536.0,1
2017-01,sp,2535343.360000001,283
2017-01,sc,321380.48,26
2017-01,pe,120606.71999999999,9
2017-01,pr,323176.32000000007,62
2017-01,mg,1008246.3999999993,102
2017-01,go,270559.3599999999,18
2017-01,ce,57247.359999999986,8
2017-01,pi,80054.39999999998,7
2017-01,al,25214.079999999973,2
2017-01,pb,26227.20000000002,2
2017-02,sp,4731980.160000001,603
2017-02,rj,1918105.6000000015,230
2017-02,sc,382582.3999999996,57
2017-02,pr,1149171.8400000003,110
2017-02,rs,960239.359999999,100
2017-02,pa,614565.7599999998,24
2017-02,mt,191496.79999999993,18
2017-02,go,143363.83999999994,24
2017-02,pe,178042.24,20
2017-02,ro,92560.63999999993,9
2017-02,ce,134083.83999999994,13
2017-02,rn,25529.599999999973,8
2017-02,mg,1829195.6800000002,242
2017-02,ba,448209.1199999995,59
2017-02,al,167425.92000000004,12
2017-02,ms,481266.55999999994,11
2017-02,am,57784.959999999985,8
2017-02,df,630899.8399999996,21
2017-02,ma,57297.91999999997,11
2017-02,es,249253.75999999978,31
2017-02,se,119156.47999999995,12
2017-02,pb,121589.12000000004,11
2017-02,rr,3251.200000000003,2
2017-02,to,48998.39999999996,7
2017-02,pi,193068.16000000003,10
2017-02,ac,28825.600000000053,3
2017-02,ap,35190.39999999996,2
2017-03,ce,382078.72,26
2017-03,ro,119351.03999999998,16
2017-03,df,435454.0799999999,54
2017-03,sc,1152288.6399999992,104
2017-03,pr,936889.5999999992,121
2017-03,ba,989173.2799999994,87
2017-03,es,315706.23999999993,47
2017-03,ms,412963.2000000002,19
2017-03,se,156076.79999999987,22
2017-03,ma,124851.19999999988,22
2017-03,am,40408.95999999996,5
2017-03,pi,134815.99999999994,13
2017-03,to,41514.23999999996,7
2017-03,rr,17343.36,2
2017-03,sp,8432450.56,969
2017-03,rs,1249768.96,144
2017-03,rj,3415930.24,370
2017-03,go,543645.4399999998,47
2017-03,mg,2613501.1200000006,344
2017-03,pb,280831.3599999999,16
2017-03,rn,111470.07999999999,13
2017-03,pe,331689.5999999998,36
2017-03,mt,137814.56000000003,16
2017-03,pa,489457.28,35
2017-03,al,75186.56,10
2017-03,ap,19442.559999999972,3
2017-03,ac,29183.359999999993,2
2017-04,sc,716735.9999999992,100
2017-04,ce,366837.1199999998,42
2017-04,al,292423.67999999993,21
2017-04,pa,305673.59999999974,36
2017-04,se,166090.8800000001,13
2017-04,ac,74392.31999999998,5
2017-04,rn,79607.67999999993,10
2017-04,pi,136833.91999999998,11
2017-04,mt,210051.20000000004,25
2017-04,mg,2510287.680000001,267
2017-04,sp,7897686.399999998,873
2017-04,go,340603.5199999998,38
2017-04,pr,995399.0399999989,112
2017-04,rj,3645157.7600000044,325
2017-04,rr,3132.800000000001,2
2017-04,ma,195098.87999999995,25
2017-04,es,346899.1999999997,45
2017-04,ba,1143241.5999999999,84
2017-04,rs,1059954.559999999,132
2017-04,pe,233371.52,36
2017-04,ms,121859.83999999997,15
2017-04,df,479851.51999999984,34
2017-04,am,53528.31999999998,13
2017-04,ro,53989.119999999995,7
2017-04,to,181968.63999999996,13
2017-04,pb,189271.67999999996,20
2017-05,mg,3125786.8800000013,413
2017-05,sp,10980764.719999995,1367
2017-05,rn,299747.83999999997,17
2017-05,ba,1026026.2399999993,119
2017-05,ac,134040.95999999988,8
2017-05,ce,669841.2799999996,62
2017-05,sc,1355698.56,146
2017-05,ro,35293.43999999998,8
2017-05,pi,370977.27999999997,23
2017-05,se,43589.75999999999,11
2017-05,am,65073.27999999995,8
2017-05,ap,78136.96000000002,4
2017-05,es,792924.3199999995,92
2017-05,ma,209547.51999999984,31
2017-05,to,132699.51999999993,17
