date,revenue,orders,aov
2016-09-15,10932.569999999958,1,10932.569999999958
2016-10-03,35800.37999999996,7,5114.339999999995
2016-10-04,696491.1900000001,55,12663.476181818183
2016-10-05,500337.09000000067,37,13522.624054054071
2016-10-06,478649.33999999997,43,11131.38
2016-10-07,511320.96,41,12471.242926829269
2016-10-08,593434.08,36,16484.28
2016-10-09,196127.90999999992,24,8171.9962499999965
2016-10-10,254172.95999999993,34,7475.6752941176455
2016-12-23,882.8999999999988,1,882.8999999999988
2017-01-05,32148.89999999996,32,1004.6531249999988
2017-01-06,74540.87999999998,5,14908.175999999996
2017-01-07,109189.8,4,27297.45
2017-01-08,37125.179999999986,5,7425.035999999997
2017-01-09,53883.99000000003,5,10776.798000000006
2017-01-10,117106.3799999999,7,16729.482857142844
2017-01-11,149754.05999999994,11,13614.00545454545
2017-01-12,121116.60000000002,13,9316.66153846154
2017-01-13,197109.27000000002,11,17919.024545454547
2017-01-14,70902.80999999998,17,4170.753529411763
2017-01-15,179461.2599999999,15,11964.083999999993
2017-01-16,266401.7100000001,19,14021.142631578952
2017-01-17,269322.03,34,7921.236176470589
2017-01-18,256207.49999999994,31,8264.758064516127
2017-01-19,292763.25,33,8871.613636363636
2017-01-20,322444.6200000001,29,11118.780000000004
2017-01-21,186875.9100000003,22,8494.35954545456
2017-01-22,296883.1799999998,33,8996.459999999994
2017-01-23,506729.61,37,13695.394864864864
2017-01-24,429882.1200000002,46,9345.263478260875
2017-01-25,566850.3300000003,60,9447.505500000005
2017-01-26,1049317.38,86,12201.36488372093
2017-01-27,898665.8399999996,59,15231.624406779654
2017-01-28,413307.8100000002,30,13776.927000000005
2017-01-29,479536.56,32,14985.5175
2017-01-30,834570.9000000001,51,16364.13529411765
2017-01-31,843569.2800000001,64,13180.770000000002
2017-02-01,616802.3999999996,67,9206.005970149246
2017-02-02,721942.7399999996,72,10026.982499999995
2017-02-03,772509.5999999997,58,13319.131034482754
2017-02-04,1101933.5399999998,69,15970.051304347824
2017-02-05,679960.5299999999,79,8607.095316455696
2017-02-06,758882.4300000002,81,9368.918888888891
2017-02-07,1112211.72,111,10019.925405405405
2017-02-08,931070.8800000001,84,11084.177142857145
2017-02-09,739660.4999999998,76,9732.374999999996
2017-02-10,1051353.5399999996,63,16688.151428571422
2017-02-11,351476.4599999999,48,7322.426249999998
2017-02-12,1214787.6899999995,69,17605.618695652167
2017-02-13,813497.3099999996,76,10703.911973684206
2017-02-14,884918.3400000002,71,12463.6385915493
2017-02-15,525470.9399999998,58,9059.843793103446
2017-02-16,474769.43999999994,52,9130.181538461537
2017-02-17,553441.5900000001,47,11775.352978723406
2017-02-18,586951.2000000002,55,10671.840000000004
2017-02-19,288654.8399999998,40,7216.370999999995
2017-02-20,577697.4000000001,61,9470.44918032787
2017-02-21,651630.78,42,15515.018571428573
2017-02-22,478968.2100000001,54,8869.781666666668
2017-02-23,508509.44999999966,59,8618.80423728813
2017-02-24,538020.7199999999,64,8406.573749999998
2017-02-25,302429.6999999998,46,6574.558695652169
2017-02-26,401780.87999999995,44,9131.383636363635
2017-02-27,465920.0099999997,41,11363.902682926822
2017-02-28,870034.8599999996,58,15000.601034482752
2017-03-01,993513.2399999996,102,9740.325882352938
2017-03-02,899432.28,69,13035.250434782609
2017-03-03,998362.4400000004,73,13676.197808219184
2017-03-04,696354.0300000001,70,9947.914714285716
2017-03-05,543419.5499999999,73,7444.103424657534
2017-03-06,696317.13,97,7178.527113402062
2017-03-07,922604.2200000001,82,11251.270975609757
2017-03-08,1066335.66,75,14217.808799999999
2017-03-09,890492.9399999998,91,9785.636703296701
2017-03-10,964363.5899999996,87,11084.638965517237
2017-03-11,854006.31,72,11861.198750000001
2017-03-12,524697.6599999999,67,7831.308358208954
2017-03-13,1325545.3799999997,111,11941.850270270266
2017-03-14,1133659.44,101,11224.350891089109
2017-03-15,1155183.7499999998,103,11215.376213592232
2017-03-16,1146065.7599999998,104,11019.863076923075
2017-03-17,965032.2899999999,67,14403.467014925372
2017-03-18,1306595.6099999999,72,18147.161249999997
2017-03-19,539896.9499999998,59,9150.795762711861
2017-03-20,1365967.9799999997,115,11877.982434782607
2017-03-21,922944.5999999993,98,9417.80204081632
2017-03-22,1141052.1299999994,108,10565.297499999995
2017-03-23,1304476.5599999996,113,11544.040353982296
2017-03-24,814019.4000000001,77,10571.680519480522
2017-03-25,753723.9900000001,74,10185.459324324325
2017-03-26,499655.9699999998,67,7457.551791044773
2017-03-27,1303718.0399999998,109,11960.715963302751
2017-03-28,927286.9200000003,99,9366.534545454548
2017-03-29,664499.1600000004,77,8629.859220779226
2017-03-30,789016.0499999998,78,10115.590384615381
2017-03-31,987498.5399999999,73,13527.377260273972
2017-04-01,1430661.06,69,20734.218260869566
2017-04-02,717920.1900000001,68,10557.649852941177
2017-04-03,715596.66,75,9541.2888
2017-04-04,1005654.9599999994,105,9577.66628571428
2017-04-05,1472603.04,96,15339.615
2017-04-06,1553667.2999999984,98,15853.747959183658
2017-04-07,1046230.4699999997,87,12025.637586206894
2017-04-08,683305.1999999998,69,9902.973913043475
2017-04-09,628251.7499999999,72,8725.718749999998
2017-04-10,918907.1999999997,87,10562.151724137928
2017-04-11,564032.5199999999,77,7325.097662337661
2017-04-12,643288.8599999999,70,9189.840857142855
2017-04-13,771213.8699999998,61,12642.850327868848
2017-04-14,544363.2899999999,48,11340.901874999998
2017-04-15,665618.4900000001,50,13312.369800000002
2017-04-16,407029.7700000002,50,8140.595400000004
2017-04-17,602682.4799999999,61,9880.040655737703
2017-04-18,1724965.6499999994,73,23629.66643835616
2017-04-19,952603.5599999999,97,9820.655257731958
2017-04-20,1004828.9399999998,95,10577.146736842104
2017-04-21,674850.96,69,9780.448695652174
2017-04-22,1045442.5199999996,92,11363.505652173908
2017-04-23,788731.9199999999,89,8862.15640449438
2017-04-24,1053901.9799999995,114,9244.754210526311
2017-04-25,1118956.68,113,9902.271504424778
2017-04-26,1242020.879999999,127,9779.691968503928
2017-04-27,768969.1799999997,78,9858.579230769226
2017-04-28,1261412.9999999993,98,12871.56122448979
2017-04-29,937581.0299999998,72,13021.958749999998
2017-04-30,645675.7499999995,67,9636.951492537306
2017-05-01,970061.3099999997,122,7951.322213114751
2017-05-02,1388354.7599999998,125,11106.838079999998
2017-05-03,820012.4999999997,105,7809.642857142854
2017-05-04,1087820.2799999993,112,9712.681071428566
2017-05-05,1101046.9499999997,109,10101.348165137611
2017-05-06,1159890.5699999996,105,11046.576857142853
2017-05-07,1326752.9999999986,109,12172.04587155962
2017-05-08,1281579.749999999,125,10252.637999999992
