month,payment_type,total_payment_value,share
2016-09,unknown,,
2016-10,voucher,4386.419999999998,0.010466275156651595
2016-10,credit_card,343852.38000000035,0.8204534956409849
2016-10,boleto,68686.02000000002,0.1638891817781414
2016-10,debit_card,2175.5699999999997,0.005191047424222149
2016-12,credit_card,176.58,1.0
2017-01,voucher,33590.06999999999,0.029261910655218718
2017-01,debit_card,6691.77,0.0058295197320301214
2017-01,credit_card,903884.6699999964,0.787417009138765
2017-01,boleto,203744.52000000008,0.17749156047398612
2017-02,credit_card,1904379.9999999995,0.7797999233663684
2017-02,boleto,488841.81999999983,0.2001695112184942
2017-02,debit_card,13592.88,0.0055659725382162396
2017-02,voucher,35324.55,0.014464592876921338
2017-03,credit_card,2931859.5600000094,0.7861563779354328
2017-03,boleto,683716.8299999994,0.183333592761276
2017-03,voucher,82189.97999999995,0.022038633044000725
2017-03,debit_card,31592.880000000005,0.008471396259290368
2017-04,boleto,640414.3100000002,0.1820310888850167
2017-04,voucher,96307.37999999996,0.02737436839764413
2017-04,debit_card,23919.39,0.006798837157722754
2017-04,credit_card,2757517.9000000022,0.7837957055596164
2017-05,voucher,126954.09000000005,0.0248719725358636
2017-05,credit_card,3829534.9500000183,0.7502561603295349
2017-05,debit_card,25657.11,0.0050265646051232465
2017-05,boleto,1122157.0900000008,0.21984530252947837
2017-06,voucher,113184.53999999992,0.025650639610822056
2017-06,boleto,946918.2000000004,0.21459695369286608
2017-06,debit_card,21432.510000000002,0.004857179169216398
2017-06,credit_card,3331007.350000007,0.7548952275270956
2017-07,boleto,1005321.3800000008,0.19723710767532732
2017-07,credit_card,3922481.5399999996,0.7695637725912713
2017-07,voucher,151298.00999999995,0.02968362404610625
2017-07,debit_card,17918.549999999996,0.0035154956872952736
2017-08,voucher,131167.8899999999,0.022546065423381417
2017-08,debit_card,27611.550000000003,0.004746068666203045
2017-08,boleto,1148253.0000000002,0.19736985370881552
2017-08,credit_card,4510740.529999995,0.7753380122015999
2017-09,boleto,1138248.450000002,0.18046262006428737
2017-09,credit_card,4969488.79,0.7878833196948377
2017-09,debit_card,42213.24,0.006692661775030367
2017-09,voucher,157441.31999999998,0.02496139846584446
2017-10,debit_card,51569.46000000001,0.007628972006989261
2017-10,credit_card,5318852.770000016,0.7868490166782319
2017-10,voucher,176153.45999999996,0.026059412203934307
2017-10,boleto,1213110.9300000032,0.17946259911084453
2017-11,boleto,1933098.1100000106,0.18615732579392424
2017-11,credit_card,8235816.860000092,0.7931090690405376
2017-11,voucher,162005.15999999992,0.015601095047584853
2017-11,debit_card,53297.10000000001,0.005132510117953251
2017-12,voucher,181219.40999999986,0.02388934463830568
2017-12,debit_card,62125.46999999998,0.0081897229642604
2017-12,credit_card,5896026.32000003,0.7772467902582951
2017-12,boleto,1446412.8699999996,0.1906741421391387
2018-01,credit_card,7572004.720000119,0.7799611806187182
2018-01,voucher,249555.14999999982,0.025705653472371068
2018-01,debit_card,103891.94999999998,0.010701484081850857
2018-01,boleto,1782729.7000000058,0.1836316818270599
2018-02,credit_card,6841634.660000099,0.7864506328284437
2018-02,debit_card,67002.75,0.0077020124220934716
2018-02,voucher,180809.00999999986,0.020784120667381886
2018-02,boleto,1609935.8100000038,0.18506323408208086
2018-03,credit_card,8120792.26999992,0.8051168166940396
2018-03,boleto,1677952.7300000028,0.16635667009133934
2018-03,voucher,219621.7399999999,0.021773879974596084
2018-03,debit_card,68110.28000000006,0.006752633240025027
2018-04,boleto,1715035.4600000002,0.1682198568806633
2018-04,debit_card,94132.09000000005,0.00923297918730947
2018-04,voucher,203580.13000000012,0.019968228722423525
2018-04,credit_card,8182454.549999887,0.8025789352096038
2018-05,boleto,1728922.550000004,0.17015865652327378
2018-05,debit_card,85048.73999999999,0.008370403484758286
2018-05,credit_card,8159037.419999851,0.8030034924990072
2018-05,voucher,187641.27,0.018467447492960747
2018-06,debit_card,320448.96,0.03518620763471487
2018-06,credit_card,7208632.2299999315,0.7915283307740342
2018-06,voucher,210256.65000000002,0.023086778448210825
2018-06,boleto,1367894.2699999998,0.15019868314304002
2018-07,voucher,189253.16999999995,0.020453752318133293
2018-07,debit_card,349913.87000000017,0.03781734081209576
2018-07,boleto,1740867.3499999992,0.18814622548000148
2018-07,credit_card,6972701.589999982,0.7535826813897694
2018-08,voucher,155269.44,0.017511463189845138
2018-08,credit_card,7035960.76999999,0.7935236195161731
2018-08,debit_card,408369.34000000014,0.04605635639100235
2018-08,boleto,1267131.8200000008,0.1429085609029793
